D,Unit Name,Plus Ultra,Action Skill 1,Action Skill 2,Auto Skill 1,Auto Skill 2,Tags,Stats
,"Power (STR)
[Cooking Fun]
Izuku Midoriya","Delaware Smash (Plus Ultra)

Inflict 550% damage to one enemy; +40% ATK for 3 turns; Inflict self damage","Ready For Battle

Fill allies PU Gauge by 20%
(5 Turn CD)","Delaware Smash

Inflict 300% damage to one enemy; +40% Skill Damage if enemy has ATK DOWN; Inflict self damage
(4 Turn CD)","Essence of a Hero

Power (STR) allies +20% ATK","Fast Judgement

While HP is Above 50%, +30% ATK","U.A. Student
1-A Student
Hero
Male","HP - 22,465
ATK - 5,417
SPD - 319
Crit Rate - 10"
,"Faith (MND)
[To Be a Hero]
Izuku Midoriya","Detroit Smash (Plus Ultra)

Inflict 550% damage to one enemy; Gain Grit; Inflict self damage","Detroit Smash

Inflict 300% damage to one enemy; +35% ATK for 3 turns; Inflict self damage
(5 Turn CD)","Persistent Spirit

All allies +20% ATK for 3 turns; Fill PU Gauge by 20%
(5 Turn CD)","Hidden Instinct for Conflict

+35% Skill Damage if character deals Critical Damage","All Seeing Eye

While HP is below 50%, +30% Crit Rate","U.A. Student
1-A Student
Hero
Male","HP - 23,869
ATK - 5,066
SPD - 334
Crit Rate - 10"
,"Skill (ABL)
[Cooking Fun]
Katsuki Bakugo"," Explosive Speed Turbo (Plus Ultra)


Inflict 500% damage to one enemy; Low chance to Burn enemy for 3 turns; Enemy -25% Crit Rate for 3 turns","A.P Shot

Inflict 250% damage to one enemy; Low chance to Burn enemy for 3 turns; Enemy -20% SPD for 3 turns if used in a Skill CHAIN
(5 Turn CD)","Vainglory

Enemy -25% ATK for 3 turns; Fill PU Gauge by 30%
(5 Turn CD)","Overpowering

At the start of each WAVE, enemy -25% SPD for 3 turns","Indisputable Victory

At the start of each WAVE, enemy -25% Crit Rate for 3 turns","U.A. Student
1-A Student
Hero
Male","HP - 23,984
ATK - 5,021
SPD - 337
Crit Rate - 10"
,"Power (STR)
[Certain Win]
Katsuki Bakugo

USJ Shop","A.P Shot

Inflict 450% damage to one enemy; Low chance to Burn enemy; +40% ATK for 3 turns","Stun Grenade

Inflict 200% damage to all enemies; Low chance to Blind enemies for 2 turns
(4 Turn CD)","Fighting Spirit

+50% ATK for 3 turns; Fill PU Gauge by 20%
(4 Turn CD)","Lonely Prodigy

While HP is Above 50%, +30% ATK","Perfectionist

While HP is Above 50%, +25% Crit Rate","U.A. Student
1-A Student
Hero
Male","HP - 21,980
ATK - 5,475
SPD - 326
Crit Rate - 10"
,"Skill (ABL)
[Cooking Fun]
Shoto Todoroki","Fire Dance (Plus Ultra)

Inflict 500% damage to one enemy; Medium chance to Burn enemy for 3 turns","Heat Wave Expansion

+35% ATK for 3 turns; All allies gain Burn Resistance & Freeze Resistance for 3 turns
(5 Turn CD)","Ice Block

Inflict 200% damage to all enemies; Low chance to Freeze enemies for 1 turn
(4 Turn CD)","Son of a Pro Hero

While HP is Above 50%, +30% ATK","Dual-Quirk

At the start of each WAVE, +30% ATK for 3 turns & +40% Skill Damage for 3 turns","U.A. Student
1-A Student
Hero
Male","HP - 23,793
ATK - 5,050
SPD - 337
Crit Rate - 10"
,"Destruction (DST)
[Fine Skills]
Shoto Todoroki

Special Missions","Ice Block (Plus Ultra)

Inflict 500% damage to one enemy; Medium chance to Freeze enemy for 1 turn","Fire Dance

Inflict 200% damage to all enemies; Low chance to Burn enemies for 3 turns
(6 Turn CD)","Ice Wall Construction

+45% ATK for 3 turns; All allies gain 20% Damage Cut for 2 turns,
(5 Turn CD)","Calm and Collected

At the start of each WAVE, +30% ATK for 3 turns; At the start of each WAVE, +25% Crit Rate for 3 turns","Ice Sight

While HP is below 50%, gain 30% Damage Cut for 2 turns","U.A. Student
1-A Student
Hero
Male","HP - 21,884
ATK - 5,494
SPD - 326
Crit Rate - 10"
,"Faith (MND)
[Cooking Fun]
Momo Yaoyorozu","Matryoshka

Inflict 500% damage to one enemy, Medium chance to Blind enemy for 2 turns","First Aid

Recover 30% HP for all allies, Fill Plus Ultra Gauge by 15% for all allies
(6 Turn CD)","Best I Can Do Right Now

Gain Barrier for 1 attack; +35% ATK for one ally for 3 turns
(4 Turn CD)","Celebrity

At the start of each WAVE, gain Heavy; At the start of each WAVE, Enemy -20% SPD for 3 turns","Path to Victory

Faith (MND) allies +20% Max HP","U.A. Student
1-A Student
Hero
Female","HP - 23,218
ATK - 5,070
SPD - 329
Crit Rate - 10"
,"Knowledge (INT)
[Swift Tactics]
Momo Yaoyorozu","Big Boom

Inflict 500% damage to one enemy; All allies +25% ATK for 3 turns","Matryoshka 

Inflict 200% damage to all enemies; Enemy -15% ATK for 3 turns if used second or later in a Skill CHAIN
(5 Turn CD)","Expect the Unexpected

Taunt enemies for 2 turns; +25% DEF for 2 turns
(4 Turn CD)","Clearheaded

Knowledge (INT) allies +20% Max HP","With Heart and Soul

Gain 35% Damage Cut while Taunt is active on character","U.A. Student
1-A Student
Hero
Female","HP - 22,601
ATK - 5,262
SPD - 319
Crit Rate - 10"
,"Skill (ABL)
[Duties Of A Leader]
Momo Yaoyorozu

Event","Cannon Attack
Inflict 500% damage to one enemy; enemy -20% SPD for 3 turns, enemy -10% Crit Rate for 3 turns","Net Cannon
(CD: 5 Turns)
Medium chance to Restraint one enemy (1 Turn); enemy -25% SPD for 3 turns; +25% PU Gauge (Self)","Firm Leadership
(CD: 4 Turns)
All allies gain a 2 turn 20% Damage Cut buff;  enemy -20% Crit Rate for 3 turns","Standing back up from a pinch
While HP is 50% or less, all allies gain 20% Auto Heal (3 Turns, once only)","Lecture Teacher
While HP is 50% or more, allies +20% SPD ","U.A. Student
1-A Student
Hero
Female","HP - 23,146
ATK - 5,082
SPD - 329
Crit Rate - 10"
,"Knowledge (INT)
[Cooking Fun]
Ochaco Uraraka","Zero Gravity Kick

Inflict 500% damage to one enemy; +25% Crit Rate for 3 turns","Home Run Comet

Inflict 250% damage to one enemy; +30% Crit Rate for 3 turns if used last in a Skill CHAIN
(3 Turn CD)","Full-Fledged Encouragement

Cleanse 1 status ailment from one ally; Fill PU Gauge by 25% for that ally
(4 Turn CD)","Brightly Cheerful

1-A Student allies +20% Crit Rate","Never Giving Up

While HP is below 50%, +30% Crit Rate","U.A. Student
1-A Student
Hero
Female","HP - 22,601
ATK - 5,262
SPD - 319
Crit Rate - 10"
