Unit Art,Unit Name,Plus Ultra,Action Skill 1,Action Skill 2,Auto Skill 1,Auto Skill 2,Tags,Stats
,"Power (STR)
[Lucky Strike] 
Izuku Midoriya","One For All: Full Cowl

Inflict 750% damage to one enemy; Gain Reverse for 3 turns; Inflict self damage","Delaware Smash 

Inflict 400% damage to one enemy; +40% ATK for 3 turns; Inflict self damage
(5 Turn CD)","Full Cowl  

+50% ATK & SPD for 3 turns
(4 Turn CD)","Confronting Resolve

+40% Skill Damage for 3 turns if character deals Crit Damage; While HP is below 50%, Auto-Heal 20% HP for 3 turns (Once only)","Passing The Torch

While HP is below 50%, +35% Crit Rate","U.A. Student
1-A Student
Hero
Male","HP - 25,815
ATK - 6,409
SPD - 409
Crit Rate - 10"
,"Faith (MND)
[My Own Skill] 
Izuku Midoriya","Full Cowl: Shoot Style

Inflict 600% damage to one enemy; +XX% Skill Damage relative to SPD","Full Cowl 

Fill PU Gauge by 30%; +50% SPD for 3 turns
(4 Turn CD)","Detroit Smash 

Inflict 400% damage to one enemy; +40% ATK for 3 turns; Inflict self damage
(5 Turn CD)","Aiming For The Best

While HP is below 50%; Fill PU gauge by 50%","Demanding Strength

While HP is Above 50%; +30% Crit Rate","U.A. Student
1-A Student
Hero
Male","HP - 25,246
ATK - 6,515
SPD - 414
Crit Rate - 10"
,"Skill (ABL)
[Living Up To Expectations] 
Izuku Midoriya","Delaware Smash: Air Force

Inflict 700% damage to one enemy; Enemy -35% Crit Rate for 3 turns","Delaware Smash 

Inflict 350% damage to one enemy; Enemy -30% SPD for 3 turns
(4 Turn CD)","Detroit Smash 

Inflict 350% damage to one enemy; +50% Skill Damage if enemy has SPD DOWN
(5 Turn CD)","Limitless Vitality 

While HP is Above 50%; +50% Skill Damage","Because I Care!

While HP is below 50%; Gain Evasion for 3 attacks; +40% SPD","U.A. Student
1-A Student
Hero
Male","HP - 27,950
ATK - 5,903
SPD - 429
Crit Rate 10"
,"Destruction (DST)
[World Heroes]
Izuku Midoriya

Limited","Delaware Detroit Smash

Inflict 700% damage to one enemy, +40% Skill Damage if enemy is a Villain","Detroit Smash

Inflict 300% damage to one enemy; +XX% Skill Damage relative to SPD
(4 Turn CD)","Delaware Smash

Inflict 500% damage to one enemy; +30% SPD for 3 turns; Fill PU Gauge by 20%
(5 Turn CD)","Humble Beginnings

While HP is below 50%, +40% ATK; Gain Grit (Once only)","Follow Your Heart

Fill PU Gauge by 30%; At the start of each WAVE, +30% Crit Rate for 3 turns","U.A. Student
1-A Student
Hero
Male","HP - 26,602
ATK - 6,166
SPD - 419
Crit Rate - 10"
,"Knowledge (INT)
[Unyielding Feelings] 
Midoriya Izuku","Virginia Smash

Inflict 650% damage to one enemy; Gain 2 stacks of Grit ","Detroit Smash 

Inflict 350% damage to one enemy; +20% Skill Damage for 3 turns if used in a Skill CHAIN
(5 Turn CD)","Giving My All

+40% PU Skill Damage for 3 turns; Fill PU Gauge by 40%
(5 Turn CD)  ","Proven Tactics

While HP is below 50%; +35% ATK, +20% SPD","Come at me with your full Power (STR)!

While HP is below 30%; +45% Skill Damage; Gain 3 stacks of Grit (Once only)","U.A. Student
1-A Student
Hero
Male","HP - 25,288
ATK - 6,505
SPD - 414
Crit Rate 10"
,"Skill (ABL)
[I'm The Best] 
Katsuki Bakugo","Howitzer Impact

Inflict 600% damage to one enemy; +40% Skill Damage if enemy is Burned","A.P Shot 

Inflict 300% damage to one enemy; Medium chance to Burn enemy for 3 turns; Enemy -15% DEF for 3 turns if used in a Skill CHAIN
(4 Turn CD)","Stun Grenade  

Inflict 175% damage to all enemies; Medium chance to Blind enemies for 3 turns
(6 Turn CD)","KING EXPLOSION MURDER

+5% ATK when dealing the final blow to an enemy; While HP is Above 50%; +25% ATK","Explosive Sweat

+3% ATK every turn (up to 30%); While HP is Above 50%; +25% SPD","U.A. Student
1-A Student
Hero
Male","HP - 24,667
ATK - 6,580
SPD - 424
Crit Rate - 10"
,"Destruction (DST)
[Merciless Assault]
Katsuki Bakugo","Berserk Blast

Inflict 650% damage to one enemy; Enemy -30% DEF for 3 turns","Explosive Turbo

Inflict 350% damage to one enemy; Fill PU Gauge by 30%
(4 Turn CD)","Stun Grenade

Inflict 200% damage to all enemies; Low chance to Blind enemies for 2 turns; Enemies -15% DEF for 2 turns
(5 Turn CD)","It's gotten cold dammit!

+5% Skill Damage every turn (up to 40%); On Turn 10, fill PU Gauge by 50% (Once only)","Absolute Victory

At the start of each WAVE, gain Heavy for 3 attacks; While HP is Above 50%, +30% SPD","U.A. Student
1-A Student
Hero
Male","HP - 27,545
ATK - 5,951
SPD - 429
Crit Rate 10"
,"Power (STR)
[World Heroes]
Katsuki Bakugo

Limited","A.P. Shot Auto Cannon

Inflict 700% damage to one enemy; +40% Skill Damage if enemy has Crit Rate DOWN","Explosive Turbo

Inflict 350% damage to one enemy; +50% Skill Damage for 3 turns
(5 Turn CD)","A.P. Shot

Inflict 350% damage to one enemy; Low chance to Burn enemy for 3 turns; Enemy -20% Crit Rate for 3 turns if used in a Skill CHAIN
(4 Turn CD)","Surpassing No 1

Fill PU Gauge by 30%; While HP is Above 50%, +30% SPD","Explosive Sweat

While HP is below 50%, +40% ATK; At the start of each WAVE, enemy -20% ATK for 3 turns","U.A. Student
1-A Student
Hero
Male","HP - 25,330
ATK - 6,456
SPD - 418
Crit Rate 10"
,"Faith (MND)
[Explosive Advance]
Bakugo Katsuki","X-Catapult

Inflict 700% damage to one enemy; +20% Skill Damage if character uses this Skill without SPD DOWN","Explosive Turbo

Inflict 350% damage to one enemy; +30% SPD for 3 turns
(4 Turn CD)","Thirst for Victory

All allies +20% Crit Rate for 3 turns; Fill PU Gauge by 30% if used in a Skill CHAIN
(5 Turn CD)","Overwhelming Mobility

+25% ATK; +15% Skill Damage while SPD UP is active on character","Unchanging Ideals

+5% Skill Damage every turn (up to 40%); +25% PU Skill Damage while character has no SPD DOWN active","U.A. Student
1-A Student
Hero
Male","HP - 24,751
ATK - 6,561
SPD - 424
Crit Rate - 10"
,"Knowledge (INT)
[End Of Conflict] 
Shoto Todoroki","Flashfreeze Heatwave

Inflict 650% damage to one enemy; Medium chance to Freeze enemy for 1 turn, Medium chance to Burn enemy for 3 turns","Ice Wall 

Inflict 225% damage to all enemies; Medium chance to Freeze enemies for 1 turn; +30% ATK for 3 turns if used in a Skill CHAIN
(4 Turn CD)","Flame Dance 

Inflict 225% damage to all enemies; Medium chance to Burn enemies for 3 turns; Fill PU Gauge by 30%
(5 Turn CD)","I want to be a hero too!

While HP is Above 50%; Fill PU Gauge by 35% (Once only)","Below Freezing

While HP is below 50%; +40% ATK; While HP is below 30%; Freeze enemies after recieving an attack","U.A. Student
1-A Student
Hero
Male","HP - 25,991
ATK - 6,328
SPD - 413
Crit Rate 10"
